Price,Close,High,Low,Open,Volume
Ticker,VRSK,VRSK,VRSK,VRSK,VRSK
Date,,,,,
2020-01-02,145.07640075683594,145.0860102116812,142.94518187659685,143.30998959529555,845100
2020-01-03,146.48764038085938,146.62204093618115,144.0012227831256,144.0012227831256,876900
2020-01-06,146.8236541748047,146.9100513958098,144.6636357583026,145.76763931175648,656200
2020-01-07,148.05242919921875,148.7340266496336,146.9580207075372,147.11162549724384,1514700
2020-01-08,149.4156494140625,149.98205063690722,147.80284295269587,148.30203658203695,773100
2020-01-09,150.8556671142578,151.64288076077733,150.3852578877844,150.40446215072797,758800
2020-01-10,151.0284881591797,151.5084922309057,150.1356729685172,150.8268800036876,844700
2020-01-13,151.70046997070312,151.8156662444619,150.60606142431556,151.04765690609736,549500
2020-01-14,150.60609436035156,151.6140912732991,150.27968043238536,151.34529014337136,617600
2020-01-15,152.3052520751953,152.77566123388257,150.92285296223562,151.04764403198485,824100
2020-01-16,154.13890075683594,154.45570519293435,152.61249136809377,152.92929580419218,628000
2020-01-17,154.1293182373047,155.1277203121483,153.66851840649707,154.42691843321302,549300
2020-01-21,154.84927368164062,155.75168343090778,152.89084940694218,153.27486134735253,648400
2020-01-22,157.0477294921875,157.48933968584987,155.93411652431004,155.93411652431004,790700
2020-01-23,158.4973907470703,158.6797800360285,155.69415336286252,156.6061730504809,708100
2020-01-24,158.6893310546875,159.31333041777546,157.5661234119931,158.78532306901482,486000
2020-01-27,157.39337158203125,158.31498607577623,155.3485636857211,156.77896680238976,640200
2020-01-28,158.2189178466797,158.88132571761028,157.32611742833654,157.58530904417566,758900
2020-01-29,157.61410522460938,158.7565170797965,157.37410322641242,158.401318810004,529300
2020-01-30,158.1229705810547,158.2189626201209,156.46214570615027,156.7213520439004,476000
2020-01-31,155.9725341796875,158.15175690581705,155.52132915162187,157.84454724902227,621000
2020-02-03,158.61257934570312,159.37097949007747,156.51015873416455,156.51015873416455,649600
2020-02-04,161.4061737060547,161.96298018660104,159.7261594564716,160.12936111854415,931700
2020-02-05,161.8189697265625,163.10537711844356,160.87816585100668,162.7213797218874,1132400
2020-02-06,162.19338989257812,163.08620517674274,161.55018612693172,162.76940069839807,446700
2020-02-07,162.35655212402344,162.7117650534706,161.10855341326499,162.05895198073304,476300
2020-02-10,163.14376831054688,163.31656272606642,161.4541447887017,162.03975027778483,479100
