date,num_assets,mean_abs_corr,cov_spectral_entropy,corr_spectral_entropy,effective_rank,participation_ratio,qna_num_assets,qna_dimension,qna_entropy,qna_purity,eri,qews_eri,qews_entropy,index_close,index_log_ret,realized_vol,future_drawdown
2020-03-30,94.0,0.6644729910783816,1.657512601032622,1.6448029673063924,5.246245096683697,2.207329261020071,0.0,0.0,,,,,,7889.009765625,0.03885379446196175,0.05984652130132047,-0.11341343884007937
2020-03-31,94.0,0.661622888927063,1.6737669337966674,1.6604265988206142,5.33221611823222,2.227765490599111,0.0,0.0,,,,,,7813.5,-0.009617615119659308,0.05953037738130479,-0.10484545478178797
2020-04-01,94.0,0.663385074472068,1.665219347742443,1.6567788739431255,5.286832777420628,2.2094466639369985,0.0,0.0,,,,,,7486.2900390625,-0.042779653942016646,0.059110911405042044,-0.06572013606643712
2020-04-02,94.0,0.661282897328808,1.6798832129161247,1.6670822258922788,5.364929380076321,2.2289577378988015,0.0,0.0,,,,,,7635.66015625,0.019756046476378936,0.05919142094889076,-0.0839966818929887
2020-04-03,94.0,0.6597203134682228,1.689564537754849,1.6751362255936022,5.417121239662147,2.2432186652882917,0.0,0.0,,,,,,7528.10986328125,-0.014185403275586126,0.0591734415723777,-0.070910206401541
2020-04-06,94.0,0.6693590680444721,1.6484435616174358,1.637849586098369,5.19888178760419,2.1731112714653946,0.0,0.0,,,,,,8081.66015625,0.07095332018041661,0.05952918395003534,-0.13454786469170887
2020-04-07,94.0,0.6667763164497383,1.6610567196790211,1.6501886223848128,5.264871399170681,2.188572203242716,0.0,0.0,,,,,,8049.31005859375,-0.004010935559982652,0.05830016063814774,-0.13106962110434184
2020-04-08,94.0,0.6670957155674575,1.660639612192821,1.652451587738363,5.262675839820158,2.1841949117824035,0.0,0.0,,,,,,8229.5400390625,0.02214374404897426,0.05763284162985734,-0.1500995188232559
2020-04-09,94.0,0.6649025140406564,1.6708471918496612,1.662747250822635,5.316670129343239,2.198486396667316,0.0,0.0,,,,,,8238.5302734375,0.0010918383389812729,0.05275736438905977,-0.15102696634940505
2020-04-13,94.0,0.6620014627663134,1.683834030632834,1.6756151967818718,5.386167163801153,2.2156822621543735,0.0,0.0,,,,,,8332.740234375,0.011370398653868354,0.04840115354289053,-0.1606254554523373
2020-04-14,94.0,0.6645254035931167,1.6788356770996173,1.6690434168255734,5.3593123669225315,2.204914708576377,0.0,0.0,,,,,,8692.16015625,0.04222912613972623,0.037829253345745294,-0.1953335059026341
2020-04-15,94.0,0.663783642538617,1.68100093883545,1.6721330362580369,5.3709292531819814,2.2071680558531064,0.0,0.0,,,,,,8591.9599609375,-0.011594610216190971,0.036066131829055,-0.18594941423594258
2020-04-16,94.0,0.6634799602449452,1.6837373876284016,1.6739200155866834,5.385646653576308,2.2112535176817185,0.0,0.0,,,,,,8757.830078125,0.01912128857122549,0.034336655311228516,-0.201367236328027
2020-04-17,94.0,0.662135749955818,1.690459592193958,1.6797785848109772,5.42197202861115,2.2210245653310277,93.0,240.0,2.2369709422293647,0.35945596886743436,0.6405440311325656,,,8832.41015625,0.008479761962230893,0.03431139797846822,-0.2066808721607255
2020-04-20,94.0,0.6599659284756687,1.6997410206073225,1.687155508100397,5.472529935710013,2.233486336689414,93.0,240.0,2.239476913809811,0.3587842421866673,0.6412157578133326,,,8726.509765625,-0.012062436090166967,0.03261683394983869,-0.14403119714465595
2020-04-21,94.0,0.663586738950599,1.6883494452936596,1.6715586446263764,5.410542933916722,2.2178080890399268,93.0,240.0,2.2332079651007795,0.36078127073374766,0.6392187292662523,,,8403.0,-0.03777670721299647,0.03436231281385195,-0.11107698236492924
2020-04-22,94.0,0.6644147232709887,1.6838374105244995,1.6716243843701184,5.386185368493423,2.206421633350908,93.0,240.0,2.2319210071937383,0.36111817897156995,0.63888182102843,,,8664.6396484375,0.030661550332777173,0.031149616457335803,-0.13599522394303987
2020-04-23,94.0,0.6624709951083102,1.694498292498605,1.6810507540193111,5.443914027448747,2.2211208993852876,93.0,240.0,2.252454667240346,0.35571242607109854,0.6442875739289015,,,8641.5,-0.0026741564204478016,0.0309468030576739,-0.13368164797054904
2020-04-24,94.0,0.6633457042836471,1.6923653601306485,1.6780238879480884,5.432314901484257,2.217192449067048,93.0,240.0,2.258401539472064,0.3543662609656714,0.6456337390343285,,,8786.599609375,0.016651610368687557,0.028899555108536402,-0.1479878028042969
2020-04-27,94.0,0.663456059839826,1.6910287372019284,1.6757464482096662,5.425058795250177,2.215950555058798,93.0,240.0,2.2564897346282526,0.35438012746416864,0.6456198725358313,,,8837.66015625,0.005794364179334653,0.02687165980259462,-0.15291039633740722
2020-04-28,94.0,0.6610901257519575,1.7025674516796054,1.6807169838223748,5.488019544207846,2.23692642367676,93.0,240.0,2.259403441859524,0.35329853899107994,0.6467014610089201,,,8677.599609375,-0.01827720567788952,0.02640931267587846,-0.1372856116829183
2020-04-29,94.0,0.661018079900942,1.6854266984110282,1.6804320758222488,5.3947523735696254,2.209149601746485,93.0,240.0,2.2701523441341864,0.3512161144771662,0.6487838855228338,,,8982.759765625,0.034562210937609576,0.02698451686970454,-0.161937972326764
2020-04-30,94.0,0.6584077580939226,1.6939351963269624,1.6912219674544193,5.440849443209942,2.2217379634522834,93.0,240.0,2.2799573753091766,0.3482387403213433,0.6517612596786567,,,9000.509765625,0.001974057691047341,0.024370671708246847,-0.16359072326849544
2020-05-01,94.0,0.6604732369531083,1.679873222657391,1.6838643189801639,5.364875783311448,2.199255231840275,93.0,240.0,2.2808595224643704,0.34783568876899773,0.6521643112310023,,,8718.1796875,-0.031870751661410957,0.025882168718168723,-0.07672124834330563
2020-05-04,94.0,0.6602400317356959,1.6807473517535587,1.683437060123135,5.369567427583609,2.2028927376888086,93.0,240.0,2.287226046201833,0.34616643649835377,0.6538335635016462,,,8834.1103515625,0.013209940087473705,0.025443836728616484,-0.08883750165402238
2020-05-05,94.0,0.6618798773580304,1.6763491295533222,1.6763655601347738,5.346002736279137,2.1979591055259657,93.0,240.0,2.288125436452293,0.3461891219185594,0.6538108780814407,,,8930.6201171875,0.010865429708437948,0.020729851858153535,-0.07850295600142376
2020-05-06,94.0,0.6594151428884291,1.6895455410309013,1.6888197841876638,5.417018333082813,2.213372935049223,93.0,240.0,2.3002123600065234,0.3430095264708739,0.6569904735291261,,,8984.8603515625,0.0060551432259870735,0.020621617033041086,-0.08306529527698336
2020-05-07,94.0,0.6572810074934113,1.7016141575577068,1.698529299840606,5.482790340316166,2.2292048908691613,93.0,240.0,2.311533200858482,0.33999357939749575,0.6600064206025043,,,9101.8798828125,0.012939994999143929,0.020331247358722635,-0.08450338373393629
2020-05-08,94.0,0.6559810293702752,1.7080314343557372,1.70400243868816,5.518088060040282,2.2375177525898216,93.0,240.0,2.3163729118391503,0.3382668111748204,0.6617331888251796,,,9220.349609375,0.012931982720089951,0.020382625367608882,-0.08864627091189048
2020-05-11,94.0,0.6556429691130515,1.7097981713405936,1.7041931497069527,5.527845687344081,2.242017853278324,93.0,240.0,2.318141921198216,0.33773146053591124,0.6622685394640888,,,9298.919921875,0.008485300545019517,0.020350040342364636,-0.09634666492475286
