date,num_assets,mean_abs_corr,cov_spectral_entropy,corr_spectral_entropy,effective_rank,participation_ratio,qna_num_assets,qna_dimension,qna_entropy,qna_purity,eri,qews_eri,qews_entropy,index_close,index_log_ret,realized_vol,future_drawdown,feature_spec
2020-03-30,94.0,0.6644729910783816,1.657512601032622,1.6448029673063924,5.246245096683697,2.207329261020071,94.0,60.0,1.6448029673063922,0.4702047860546785,0.5297952139453215,,,7889.009765625,0.03885379446196175,0.05984652130132047,-0.11341343884007937,returns_only
2020-03-31,94.0,0.661622888927063,1.6737669337966674,1.6604265988206142,5.33221611823222,2.227765490599111,94.0,60.0,1.660426598820613,0.46660982375673155,0.5333901762432685,,,7813.5,-0.009617615119659308,0.05953037738130479,-0.10484545478178797,returns_only
2020-04-01,94.0,0.663385074472068,1.665219347742443,1.6567788739431255,5.286832777420628,2.2094466639369985,94.0,60.0,1.6567788739431262,0.4686684295332047,0.5313315704667954,,,7486.2900390625,-0.042779653942016646,0.059110911405042044,-0.06572013606643712,returns_only
2020-04-02,94.0,0.661282897328808,1.6798832129161247,1.6670822258922788,5.364929380076321,2.2289577378988015,94.0,60.0,1.6670822258922795,0.4661326205760427,0.5338673794239572,,,7635.66015625,0.019756046476378936,0.05919142094889076,-0.0839966818929887,returns_only
2020-04-03,94.0,0.6597203134682228,1.689564537754849,1.6751362255936022,5.417121239662147,2.2432186652882917,94.0,60.0,1.675136225593603,0.4642904560992084,0.5357095439007916,,,7528.10986328125,-0.014185403275586126,0.0591734415723777,-0.070910206401541,returns_only
2020-04-06,94.0,0.6693590680444721,1.6484435616174358,1.637849586098369,5.19888178760419,2.1731112714653946,94.0,60.0,1.637849586098369,0.47697268191468495,0.5230273180853151,,,8081.66015625,0.07095332018041661,0.05952918395003534,-0.13454786469170887,returns_only
2020-04-07,94.0,0.6667763164497383,1.6610567196790211,1.6501886223848128,5.264871399170681,2.188572203242716,94.0,60.0,1.6501886223848126,0.4737846663952088,0.5262153336047912,,,8049.31005859375,-0.004010935559982652,0.05830016063814774,-0.13106962110434184,returns_only
2020-04-08,94.0,0.6670957155674575,1.660639612192821,1.652451587738363,5.262675839820158,2.1841949117824035,94.0,60.0,1.6524515877383632,0.47392459306647133,0.5260754069335287,,,8229.5400390625,0.02214374404897426,0.05763284162985734,-0.1500995188232559,returns_only
2020-04-09,94.0,0.6649025140406564,1.6708471918496612,1.662747250822635,5.316670129343239,2.198486396667316,94.0,60.0,1.6627472508226355,0.47102285013745837,0.5289771498625416,,,8238.5302734375,0.0010918383389812729,0.05275736438905977,-0.15102696634940505,returns_only
2020-04-13,94.0,0.6620014627663134,1.683834030632834,1.6756151967818718,5.386167163801153,2.2156822621543735,94.0,60.0,1.6756151967818715,0.46731397646585077,0.5326860235341493,,,8332.740234375,0.011370398653868354,0.04840115354289053,-0.1606254554523373,returns_only
