date,num_assets,mean_abs_corr,cov_spectral_entropy,corr_spectral_entropy,effective_rank,participation_ratio,qna_num_assets,qna_dimension,qna_entropy,qna_purity,eri,qews_eri,qews_entropy,index_close,index_log_ret,realized_vol,future_drawdown,rolling_window
2020-03-02,94.0,0.44261141199964704,2.3580175726868893,2.353969175449933,10.569976458572349,4.526915942428125,0.0,0.0,,,,,,8877.98046875,0.04800863493342074,0.021547472778524007,-0.049708438583345504,40
2020-03-03,94.0,0.45903844443703695,2.326184190329022,2.315705297694702,10.238797594749014,4.310824291680783,0.0,0.0,,,,,,8594.490234375,-0.032452778927889295,0.02233886170892399,-0.018362963735623627,40
2020-03-04,94.0,0.501790336117603,2.224908766414708,2.1880248819271966,9.252638614004074,3.833987449767066,0.0,0.0,,,,,,8949.2802734375,0.04045178515653799,0.023733575497202532,-0.05727950582618213,40
2020-03-05,94.0,0.5130610102670897,2.202151417787668,2.149227465238268,9.044450975579357,3.7087960582250057,0.0,0.0,,,,,,8671.66015625,-0.031512857372407464,0.02457362187324147,-0.02709864433578313,40
2020-03-06,94.0,0.5132619454106209,2.2155505468608743,2.1520551141409254,9.166454285311225,3.7474449132339944,0.0,0.0,,,,,,8530.33984375,-0.01643105359278734,0.024550678131076,-0.06826340676454956,40
2020-03-09,94.0,0.5854925192928733,1.9117841961998836,1.902099831674634,6.765148389041719,2.830421422695641,0.0,0.0,,,,,,7948.02978515625,-0.07070512952644956,0.028597697293962943,0.0,40
2020-03-10,94.0,0.6034221780141926,1.8329079286859549,1.8364410635924433,6.252040738957013,2.621151676886635,0.0,0.0,,,,,,8372.26953125,0.052000926247806334,0.03135678244259913,-0.050672012470483585,40
2020-03-11,94.0,0.6213416350854722,1.7879921635764315,1.7825172873059005,5.977438690448365,2.509083788666112,0.0,0.0,,,,,,8006.1201171875,-0.04471873457993497,0.032449639914733076,-0.09273783105624644,40
2020-03-12,94.0,0.6821626306982803,1.6571460315629256,1.562394938755122,5.244322335834951,2.290254926749534,0.0,0.0,,,,,,7263.64990234375,-0.097323819979458,0.037660445872282615,0.0,40
2020-03-13,94.0,0.7080531860144558,1.540892088389578,1.45808213535088,4.668753354454136,2.1100513289453935,0.0,0.0,,,,,,7995.259765625,0.09596639289383774,0.044965800983073984,-0.121932233772306,40
2020-03-16,94.0,0.7491345892060971,1.3376628557764736,1.289771034514524,3.8101282720494942,1.825762129472009,0.0,0.0,,,,,,7020.3798828125,-0.13003150583375683,0.05231845160719248,0.0,40
2020-03-17,94.0,0.7378885388941456,1.38063501673847,1.3189811597925813,3.9774265581637507,1.8908773631476203,0.0,0.0,,,,,,7473.9501953125,0.06260633638082741,0.05510210117256925,-0.06068682566074224,40
2020-03-18,94.0,0.7261995626198829,1.4069146916338486,1.3571703974394542,4.083337593523047,1.9317997552959862,0.0,0.0,,,,,,7175.18017578125,-0.04079579437763642,0.05519179123668635,-0.021574411955710193,40
2020-03-19,94.0,0.7056881778535482,1.460974047465026,1.4206924791216529,4.310155780650983,2.024077784920516,0.0,0.0,,,,,,7288.52001953125,0.015672637319200763,0.0556129141381559,-0.04036896100721321,40
